Zin;Context;Vertaling NGT/opmerking;Bijbehorende uitleg/grammatica;Naam;;
Niet met je handjes in het potje.;Naar de wc;;;Tobias;;
Niet vergeten af te vegen, want anders komt er plas in je onderbroek.;Naar de wc;;;Tobias;;
nog even schudden.;naar de wc;;;Tobias;;
O jee, je hebt in je broek geplast.;Naar de wc;;;Tobias;;
oh, ik ruik plas.;naar de wc;;;Tobias;;
Pak het potje maar.;naar de wc;;;Tobias;;
pak maar vier blaadjes wc-papier en probeer ze op te vouwen. (situatie: tijdens afvegen);Naar de wc;;;Tobias;;
Richt goed in de wc-pot.;naar de wc;;;Tobias;;
Soms heb je moeilijke poep, dan moet je even wachten, maar het komt vanzelf.;Naar de wc;;;Tobias;;
Trek je broek maar weer omhoog.;naar de wc;;;Tobias;;
van voor naar achter afvegen.;Naar de wc;;;Tobias;;
Veeg jezelf goed af.;naar de wc;;;Tobias;;
vergeet niet af te vegen.;Naar de wc;;;Tobias;;
Vergeet niet te schudden.;naar de wc;;;Tobias;;
Volgende keer gaan we op tijd naar de wc.;Naar de wc;;;Tobias;;
Volgens mij moet je even plassen.;naar de wc;;;Tobias;;
Was je net te laat bij de wc? Kan gebeuren.;naar de wc;;;Tobias;;
We doen even een droge broek aan.;naar de wc;;;Manouk;;
We gaan het toch even proberen.;naar de wc;;;Manouk;;
we gaan nu even billen afvegen.;naar de wc;;;Manouk;;
Weet je zeker dat je niet naar de wc moet?;Naar de wc;;;Manouk;;
Wil je een sticker plakken?;naar de wc;;;Manouk;;
wil je het brilletje op de wc?;Naar de wc;;;Manouk;;
Wil jij de wc doortrekken?;Naar de wc;;;Manouk;;
Zit er plas in je onderbroek?;Naar de wc;;;Manouk;;
zorg dat je nu naar de wc gaat, dan weet je zeker dat je op tijd bent.;naar de wc;;;Manouk;;
Als het poepen nu niet lukt, komt het straks. ;naar de wc;;;Manouk;;
Als je nu gaat plassen, dan voelt het fijner.;Naar de wc ;;;Manouk;;
Als je vergeten bent waar de wc is, vraag het.;Naar de wc ;;;Manouk;;
ben je klaar? Is alle poep eruit? (situatie: tijdens afvegen);Naar de wc ;;;Manouk;;
eerst de vulva, dan de billen vegen.;Naar de wc ;;;Manouk;;
Eerst naar de wc, dan gaan we handen wassen en daarna gaan we eten.;Naar de wc ;;;Manouk;;
eerst plassen voordat je gaat zwemmen;Naar de wc ;;;Manouk;;
Ga nu nog maar even naar de wc, anders plas je straks in je broek.;Naar de wc ;;;Manouk;;
Gewoon rustig zitten, rustig poepen.;Naar de wc ;;;Manouk;;
Heb je al geplast?;Naar de wc ;;;Manouk;;
Ben je klaar om te gaan?;Naar de wc ;;;Manouk;;
De bus is er bijna, laten we alvast naar buiten gaan.;Naar school;;;Henrianne;;
De lego laten we thuis vandaag, anders raak je het kwijt.;Naar school;;;Henrianne;;
De taxi brengt je naar school, en daarna zie ik je weer.;naar school;;;Henrianne;;
De taxi komt zo.;Naar school;;;Henrianne;;
De taxichauffeur wacht op je.;Naar school;;;Henrianne;;
Doe je helm maar op. ;Naar school;;;Henrianne;;
Ga maar alvast naar buiten.;naar school;;;Henrianne;;
Ga maar vast naar de kinderwagen.;naar school;;;Henrianne;;
Heb je je knuffel?;naar school;;;Henrianne;;
Heb je je tas al ingepakt?;naar school;;;Henrianne;;
Het wordt warm.;Naar school;;;Diego;;
Ik help je even met je jas aantrekken.;naar school;;;Diego;;
Ik zal je in de kar/kinderwagen zetten;Naar school;;;Diego;;
Ik zet je broertje even in de kar/kinderwagen en dan gaan we.;naar school;;;Diego;;
Jassen aan;naar school;;;Diego;;
Je pop laten we thuis vandaag, anders willen andere kinderen ermee spelen.;naar school;;;Diego;;
Je zus gaat naar Juf Elma, jij gaat naar Juf Petra.;naar school;;;Diego;;
Laten we snel gaan.;naar school;;;Diego;;
Mag ik een knuffel voordat je gaat?;Naar school;;;Diego;;
Nee, je mag geen autootje meenemen, want die raak je kwijt.;Naar school;;;Diego;;
Nee, we doen vandaag die jas aan.;naar school;;;Tobias;;
Neem je tas mee.;naar school;;;Tobias;;
Nog even zonnebrand op je gezicht doen.;naar school;;;Tobias;;
Nog niet de deur open doen.;naar school;;;Tobias;;
Pak je eigen fiets maar.;naar school;;;Tobias;;
Papa gaat jullie vandaag wegbrengen.;naar school;;;Tobias;;
schoenen aan.;naar school;;;Tobias;;
Steek je armen uit, steek je benen uit.;naar school;;;Tobias;;
Tot straks, lieverd.;naar school;;;Tobias;;
Trek maar even je jas aan.;Naar school;;;Tobias;;
Veel plezier op school!;naar school;;;Tobias;;
Wacht maar even op mama.;Naar school;;;Manouk;;
We doen de riempjes vast. ;naar school;;;Manouk;;
We gaan eerst je broertje wegbrengen, daarna gaan we jou wegbrengen.;naar school;;;Manouk;;
We gaan lekker spelen.;naar school;;;Manouk;;
We gaan naar Groep Vis.;naar school;;;Manouk;;
We moeten buiten staan als de taxi komt.;naar school;;;Manouk;;
We moeten nog even insmeren, anders ga je verbranden.;Naar school;;;Manouk;;
We zijn er bijna.;naar school;;;Manouk;;
Wil je achterop bij mama of wil je met je eigen fiets?;naar school;;;Manouk;;
Wil je met de fiets? ;naar school;;;Manouk;;
Fijn om je weer te zien.;naar school;;;Manouk;;
Gaan we eten?;ophalen uit school;;;Henrianne;;
Gaan we lekker naar huis?;ophalen uit school;;;Henrianne;;
geef je een high five aan de juf?;ophalen uit school;;;Henrianne;;
Heb je lekker gegeten?;ophalen uit school;;;Henrianne;;
Het is lekker weer buiten.;ophalen uit school;;;Henrianne;;
Hey vriend, heb je een leuke dag gehad?;ophalen uit school;;;Diego;;
Hier is je komkommer;ophalen uit school;;;Diego;;
Ik heb nog iets lekkers voor je meegenomen voor onderweg.;ophalen uit school;;;Diego;;
Je broer staat al te wachten.;ophalen uit school;;;Diego;;
kom maar, we gaan naar huis;ophalen uit school;;;Diego;;
Was het gezellig met de juf?;ophalen uit school;;;Tobias;;
Was het gezellig met de kindjes?;ophalen uit school;;;Tobias;;
Wat heb je allemaal gedaan vandaag?;ophalen uit school;;;Tobias;;
We gaan even je broer ophalen.;ophalen uit school;;;Tobias;;
we zien je morgen weer.;ophalen uit school;;;Tobias;;
Zeg je nog even ‘dag’?;ophalen uit school;;;Manouk;;
Zeg maar Dankjewel voor het spelen.;ophalen uit school;;;Manouk;;
Zeg maar tot morgen.;ophalen uit school;;;Manouk;;
Zeg maar tot volgende week.;ophalen uit school;;;Manouk;;
als je iets niet weet of als je iets nodig hebt, dan kan de oppas je helpen.;ophalen uit school;;;Manouk;;
als jij morgen wakker wordt, dan zijn je mama’s er weer.;Oppas;;;Henrianne;;
De oppas gaat boekjes met je lezen.;oppas;;;Henrianne;;
De oppas gaat jou naar bedje brengen.;oppas;;;Henrianne;;
de oppas is de baas.;oppas;;;Diego;;
De oppas is heel lief voor je.;Oppas;;;Diego;;
Ga je de oppas helpen?;Oppas;;;Diego;;
Je moet goed luisteren naar de oppas.;oppas;;;Tobias;;
jij kan uitleggen aan de oppas hoe wij de dingen altijd doen.;oppas;;;Tobias;;
Mama gaat zo weg.;oppas;;;Tobias;;
Papa en papa gaan eventjes op pad.;oppas;;;Manouk;;
Vanavond komt de oppas.;oppas;;;Manouk;;
Alles opruimen, ook je kamer.;oppas;;;Manouk;;
als je een filmpje wil kijken, moet je eerst even opruimen.;Opruimen/huishouden;;;Henrianne;;
Als je het nu even opruimt, kun je daarna gaan spelen.;Opruimen/huishouden;;;Henrianne;;
Als je nou slim bent, ruim je het nu even op, dan heb je langer televisietijd.;Opruimen/huishouden;;;Henrianne;;
Als jullie hebben opgeruimd, dan mogen jullie televisie kijken.;Opruimen/huishouden;;;Henrianne;;
breng de bal maar naar papa.;Opruimen/huishouden;;;Henrianne;;
breng de stiften maar naar mama.;Opruimen/huishouden;;;Henrianne;;
Doe de blokken maar in de doos.;Opruimen/huishouden;;;Henrianne;;
Doe jij de was in de wasmachine?;Opruimen/huishouden;;;Henrianne;;
Doe maar alles in een bakje.;Opruimen/huishouden;;;Henrianne;;
Een opgeruimd huis is een opgeruimd hoofd.;Opruimen/huishouden;;;Henrianne;;
Eerst je kamer opruimen, daarna mag je kleien.;Opruimen/huishouden;;;Diego;;
Even je bed opmaken.;Opruimen/huishouden;;;Diego;;
Hang jij je eigen kleren op?;Opruimen/huishouden;;;Diego;;
Help maar mee.;Opruimen/huishouden;;;Diego;;
Ik pak even een doekje.;Opruimen/huishouden;;;Diego;;
Kijk of je ergens een doekje kunt vinden.;Opruimen/huishouden;;;Diego;;
Kom je mama helpen met de vaatwasser uitruimen?;Opruimen/huishouden;;;Diego;;
Kom je papa helpen met tafeldekken?;Opruimen/huishouden;;;Diego;;
Kom maar, dan gaan we het schoonmaken.;Opruimen/huishouden;;;Diego;;
Later kunnen we weer verder spelen.;Opruimen/huishouden;;;Diego;;
Mama gaat nog even opruimen.;Opruimen/huishouden;;;Tobias;;
Mama houdt niet van rommel.;Opruimen/huishouden;;;Tobias;;
morgen kan je het speelgoed weer pakken.;Opruimen/huishouden;;;Tobias;;
Nee, we ruimen het wel op.;Opruimen/huishouden;;;Tobias;;
Op school moet je ook opruimen.;Opruimen/huishouden;;;Tobias;;
Pak jij de blokken?;Opruimen/huishouden;;;Tobias;;
Pak jij even alle auto's.;Opruimen/huishouden;;;Tobias;;
ruim de knutselspullen op;Opruimen/huishouden;;;Tobias;;
ruim de lego op;Opruimen/huishouden;;;Tobias;;
ruim eerst even op voordat je gaat spelen.;Opruimen/huishouden;;;Tobias;;
ruim je spullen vast even op, want we gaan zo eten;Opruimen/huishouden;;;Tobias;;
Ruim je tas uit.;Opruimen/huishouden;;;Manouk;;
tas leeghalen en op het aanrecht leggen.;Opruimen/huishouden;;;Manouk;;
we gaan nu opruimen en daarna gaan we lekker spelen met de duplo.;Opruimen/huishouden;;;Manouk;;
We kunnen morgen weer verder spelen.;Opruimen/huishouden;;;Manouk;;
We moeten even een doekje over het aanrecht halen.;Opruimen/huishouden;;;Manouk;;
Wil je het nog even zo laten staan of gaan we het opruimen?;Opruimen/huishouden;;;Manouk;;
Wil je me mee helpen met stofzuigen?;Opruimen/huishouden;;;Manouk;;
zullen we samen de was ophangen?;Opruimen/huishouden;;;Manouk;;
als er iets is, kom je naar me toe;Opruimen/huishouden;;;Manouk;;
als er iets is, mag je het altijd vragen.;Overig;;;Henrianne;;
Als je even wacht, kan ik ook naar jou luisteren.;Overig;;;Henrianne;;
als je hulp nodig hebt, vraag een ouder kind je te helpen.;Overig;;;Henrianne;;
Als je iets nodig hebt, kunnen ze je helpen.;Overig;;;Henrianne;;
als je nu niet snel klaar bent, dan hebben we geen tijd meer.;Overig;;;Henrianne;;
Als jij dat wil, moet je dat regelen voor jezelf;Overig;;;Henrianne;;
Als we nu gaan, zijn we nog op tijd.;Overig;;;Henrianne;;
Blijven zitten.;Overig;;;Henrianne;;
Daar kon je niks aan doen.;Overig;;;Henrianne;;
Dat hoeft niet.;Overig;;;Henrianne;;
Dat is goed, schat.;Overig;;;Henrianne;;
Dat is heel belangrijk.;Overig;;;Henrianne;;
Dat kan netter.;Overig;;;Henrianne;;
Dat mag niet!;Overig;;;Henrianne;;
Dat mag niet.;Overig;;;Henrianne;;
Die is zwaar.;Overig;;;Henrianne;;
Dit kan echt niet.;Overig;;;Henrianne;;
Dit moet je mama heel eventjes laten doen.;Overig;;;Henrianne;;
Echt waar?;Overig;;;Henrianne;;
Er gaat niks gebeuren.;Overig;;;Henrianne;;
Er gaat niks met ons gebeuren.;Overig;;;Henrianne;;
er komt straks iemand op bezoek.;Overig;;;Henrianne;;
Er zijn daar nog meer kindjes.;Overig;;;Henrianne;;
Ga maar even iets anders doen.;Overig;;;Henrianne;;
Gaan we zo naar buiten?;Overig;;;Henrianne;;
geef aan als je hulp nodig hebt;Overig;;;Diego;;
Heb je daar zin in?;Overig;;;Diego;;
Heb je iets nodig?;Overig;;;Diego;;
Heb je je tas?;Overig;;;Diego;;
Heel even wachten.;Overig;;;Diego;;
het duurt niet lang.;Overig;;;Diego;;
Het is niet oké.;Overig;;;Diego;;
Het is zo gebeurd.;Overig;;;Diego;;
Het was ingewikkeld dit.;Overig;;;Diego;;
Het ziet er gezellig uit.;Overig;;;Diego;;
Hoe ga je dat doen?;Overig;;;Diego;;
Hoe kunnen we dat gaan doen?;Overig;;;Diego;;
Hoe was het?;Overig;;;Diego;;
Hoe zie je dat iemand oud is?;Overig;;;Diego;;
Hoeveel nachtjes moet je nou nog wachten?;Overig;;;Diego;;
Ik denk dat die van mama is.;Overig;;;Diego;;
Ik kom zo bij je.;Overig;;;Diego;;
Ik luister zo naar je, maar ik ben heel even bezig.;Overig;;;Diego;;
Ik weet niet wat jij nu wil.;Overig;;;Diego;;
Ik wil niet graag te laat komen.;Overig;;;Diego;;
Is de telefoon leeg?;Overig;;;Diego;;
Je moet even wachten.;Overig;;;Diego;;
Je moet iets langer wachten.;Overig;;;Diego;;
Je moet wel dank je wel zeggen.;Overig;;;Diego;;
Jij hebt helemaal gelijk.;Overig;;;Diego;;
Jij mag het zelf vragen.;Overig;;;Tobias;;
Kan ik je erbij helpen?;Overig;;;Tobias;;
Kom eens even lekker bij mij liggen.;Overig;;;Tobias;;
Kom even hier.;Overig;;;Tobias;;
Kom in ieder geval even rustig liggen;Overig;;;Tobias;;
Kom je bij mama zitten?;Overig;;;Tobias;;
Kom maar even chillen.;Overig;;;Tobias;;
Kom op, je kan het.;Overig;;;Tobias;;
Kom op, schiet op.;Overig;;;Tobias;;
Kom, we moeten opschieten;Overig;;;Tobias;;
Kun jij dat doen?;Overig;;;Tobias;;
Laat zien hoe goed je dat kan.;Overig;;;Tobias;;
Nog heel eventjes en dan ben je klaar.;Overig;;;Tobias;;
oh ja? vertel, vertel meer.;Overig;;;Tobias;;
Oh jeetje, dat ziet er ingewikkeld uit.;Overig;;;Tobias;;
oh, kijk eens wat mooi!;Overig;;;Tobias;;
Soms doe je iets waar je sorry voor moet zeggen.;Overig;;;Tobias;;
veel succes!;Overig;;;Tobias;;
Wat bedoel je dan?;Overig;;;Tobias;;
Wat ben je aan het doen?;Overig;;;Tobias;;
Wat doet hij?;Overig;;;Tobias;;
wat gaan we eerst doen?;Overig;;;Tobias;;
wat gebeurde er toen?;Overig;;;Tobias;;
wat heb je daarna gedaan?;Overig;;;Tobias;;
Wat heb je gedaan?;Overig;;;Tobias;;
Wat heb je nodig?;Overig;;;Manouk;;
Wat is er allemaal gebeurd?;Overig;;;Manouk;;
Wat leuk!;Overig;;;Manouk;;
Wat wil je doen vandaag?;Overig;;;Manouk;;
Wat zeg je dan? Dankjewel.;Overig;;;Manouk;;
Wat zeg je?;Overig;;;Manouk;;
Wat zie ik hier?;Overig;;;Manouk;;
We gaan even naar buiten.;Overig;;;Manouk;;
we gaan gebaren oefenen.;Overig;;;Manouk;;
We kunnen het samen oplossen.;Overig;;;Manouk;;
We moeten even doorlopen;Overig;;;Manouk;;
Wie is dat?;Overig;;;Manouk;;
wie is er echt oud?;Overig;;;Manouk;;
Wil je dat?;Overig;;;Manouk;;
Wil je hier blijven of wil je me helpen?;Overig;;;Manouk;;
Wil jij op het knopje drukken?;Overig;;;Manouk;;
Word jij zelf ook ooit zo oud?;Overig;;;Manouk;;
Zeg maar wat je wil.;Overig;;;Manouk;;
Zie je wel dat je dit kan?;Overig;;;Manouk;;
Zie je wel dat je heel veel kan als je blijft oefenen.;Overig;;;Manouk;;
Zie je wel dat je heel veel kan als je doorzet.;Overig;;;Manouk;;
Zie je wel dat je het kan regelen voor jezelf.;Overig;;;Manouk;;
Zit je goed?;Overig;;;Manouk;;
Zometeen kan je iets vertellen.;Overig;;;Manouk;;
Zullen we samen kijken hoe we het kunnen oplossen?;Overig;;;Manouk;;
Als we dit erop doen, gaat de pijn over.;Overig;;;Manouk;;
Daarna doet het geen pijn meer.;Pijn;;;Henrianne;;
Dat is niet fijn.;Pijn;;;Henrianne;;
De pleister moet er even af.;pijn;;;Henrianne;;
Doe je een zalfje erop?;Pijn;;;Henrianne;;
Doet het pijn?;Pijn;;;Henrianne;;
Heb je je geschaafd?;Pijn;;;Henrianne;;
heb je je gestoten?;Pijn;;;Henrianne;;
Het gaat vanzelf over;Pijn;;;Henrianne;;
Het kan een beetje prikken.;Pijn;;;Diego;;
Ik zie een blauwe plek.;Pijn;;;Diego;;
Je doet Casper pijn.;Pijn;;;Diego;;
Kan je het nog bewegen?;pijn;;;Diego;;
Kan je je tenen nog bewegen?;Pijn;;;Diego;;
Kan je me vertellen waar je pijn hebt?;Pijn;;;Diego;;
Kan je nog goed lopen?;Pijn;;;Diego;;
Kun je het aanwijzen?;Pijn;;;Diego;;
Moet er een pleister op?;pijn;;;Tobias;;
Moeten we het nog schoonmaken?;pijn;;;Tobias;;
O, ben je gevallen?;Pijn;;;Tobias;;
Oh jee, je hebt pijn.;pijn;;;Tobias;;
oh wat vervelend;Pijn;;;Tobias;;
oh, ik zie het al, je been moet eraf!;Pijn;;;Tobias;;
Onder de douche wordt de pleister nat en krijg je hem er moeilijker af.;Pijn;;;Tobias;;
Waar doet het pijn?;Pijn;;;Tobias;;
Wat is er gebeurd?;Pijn;;;Manouk;;
wat vervelend dat hij je pijn heeft gedaan;Pijn;;;Manouk;;
Wie heeft dat gedaan?;Pijn;;;Manouk;;
Zal ik er een kusje op geven?;Pijn;;;Manouk;;
Zal ik er een pleister opdoen?;pijn;;;Manouk;;
Zo, kusje erop!;Pijn;;;Manouk;;
Zullen we een pilletje pakken?;pijn;;;Manouk;;
(Aanstaande) Zaterdag gaan we naar de bioscoop!;pijn;;;Manouk;;
(afgelopen) Zaterdag zijn we naar het bos geweest.;Plaatsen;;;Henrianne;;
Gaan we hier op het bankje zitten of in het gras?;Plaatsen;;;Henrianne;;
Kijk eens wat een mooie bomen.;Plaatsen;;;Henrianne;;
Kijk, daar is een vlieger;Plaatsen;;;Diego;;
Kijk, een paddenstoel;Plaatsen;;;Diego;;
Kijk, er liggen heel veel blaadjes.;Plaatsen;;;Diego;;
We gaan naar het bos toe.;Plaatsen;;;Tobias;;
zouden er ook kabouters zijn?;Plaatsen;;;Tobias;;
Zullen we hier even picknicken?;Plaatsen;;;Tobias;;
Zullen we kabouters gaan zoeken?;Plaatsen;;;Manouk;;
Daar kun je lekker spelen met de andere kindjes.;Plaatsen;;;Manouk;;
Daarna ga je lekker eten en drinken.;Planning;;;Henrianne;;
Daarna ga je lekker slapen.;Planning;;;Henrianne;;
Daarna ga je naar opa en oma.;planning;;;Henrianne;;
Daarna gaan we even opruimen.;Planning;;;Henrianne;;
Dat gaan we straks doen.;planning;;;Henrianne;;
Eerst nog even opruimen, dan gaan we zo naar de geitjes.;Planning;;;Henrianne;;
Het is vandaag woensdag.;planning;;;Henrianne;;
Ik heb straks een verrassing voor je.;Planning;;;Diego;;
Ja, spannend hè?;planning;;;Diego;;
Je gaat lekker buitenspelen vanmiddag.;planning;;;Diego;;
Mama gaat vandaag werken.;Planning;;;Diego;;
Mama moet in ieder geval boodschappen doen.;Planning;;;Diego;;
Misschien ga je wel knutselen. ;planning;;;Diego;;
Morgen is ook een schooldag.;Planning;;;Diego;;
Papa werkt vandaag thuis.;planning;;;Tobias;;
Strakjes gaan we naar buiten.;Planning;;;Tobias;;
Vandaag blijf je thuis met mama.;Planning;;;Tobias;;
vandaag ga je lekker naar juf Patricia.;Planning;;;Tobias;;
Vandaag ga je naar De Ster.;Planning;;;Tobias;;
Voordat we met iets nieuws gaan spelen, moeten we eerst opruimen.;Planning;;;Tobias;;
Waar ga je vandaag naartoe?;planning;;;Tobias;;
Waar heb jij zin in?;Planning;;;Manouk;;
Wat gaan jullie doen vandaag? ;planning;;;Manouk;;
Wat zullen we vandaag gaan doen?;Planning;;;Manouk;;
We gaan eerst even lekker eten.;planning;;;Manouk;;
we gaan morgen naar de dierentuin.;planning;;;Manouk;;
we gaan straks iets leuks doen.;planning;;;Manouk;;
Blijf daar vanaf.;planning;;;Manouk;;
Even goed op je stoel zitten.;restaurant;;;Henrianne;;
Even wachten, het eten komt zo.;restaurant;;;Henrianne;;
Ik zorg dat de ober komt en dan mag jij het vragen.;restaurant;;;Henrianne;;
In een restaurant moet je extra op je manieren letten.;restaurant;;;Henrianne;;
In een restaurant moet je netjes eten.;restaurant;;;Henrianne;;
In een restaurant moet je wel rustig kunnen zitten.;restaurant;;;Henrianne;;
Mama is even aan het praten.;restaurant;;;Diego;;
naar welk restaurant zullen we gaan?;restaurant;;;Diego;;
vraag het maar aan de ober.;restaurant;;;Diego;;
Was het eten lekker?;restaurant;;;Diego;;
Wat wil je bestellen? ;restaurant;;;Diego;;
wat wil je mee voor in het restaurant?;restaurant;;;Diego;;
Wat wil je op je pannenkoek?;restaurant;;;Tobias;;
We gaan even betalen.;restaurant;;;Tobias;;
Wil je een hapje van mama's tosti?;restaurant;;;Tobias;;
Wil je een tosti?;restaurant;;;Tobias;;
Wil je frietjes erbij?;restaurant;;;Tobias;;
Ze hebben frietjes met kipnuggets of macaroni met kaas.;restaurant;;;Tobias;;
Ze zijn je eten nu aan het maken.;restaurant;;;Manouk;;
Zeg maar tegen de meneer wat je wil eten.;restaurant;;;Manouk;;
Zeg maar tegen de mevrouw wat je wil drinken ;restaurant;;;Manouk;;
Zullen we een gerecht delen?;restaurant;;;Manouk;;
als je er niet uit komt, mag je altijd naar de juf toe gaan;restaurant;;;Manouk;;
Binnenkort ga je naar groep 2.;School;;;Henrianne;;
De juf wil je altijd graag helpen.;School;;;Henrianne;;
De juf zal heel lief zijn, die zal niet boos worden.;School;;;Henrianne;;
De meester zal alleen streng zijn als het nodig is.;School;;;Henrianne;;
Heb je geknutseld?;School;;;Henrianne;;
Heb je gespeeld met kindjes?;School;;;Henrianne;;
Heb je vandaag gym gehad?;School;;;Henrianne;;
heb je vandaag muziekles gehad?;school;;;Henrianne;;
heeft de juf je geholpen?;School;;;Henrianne;;
Het is een schooldag, dus ga je zelf aankleden.;school;;;Henrianne;;
het is geen uitslaapdag, maar een schooldag.;school;;;Diego;;
Hoe was het op school?;School;;;Diego;;
Hoe was het vandaag?;school;;;Diego;;
ik breng jou weg.;School;;;Diego;;
In welke hoek heb je gespeeld?;school;;;Diego;;
Je drinkbeker moet leeg terug van school komen.;school;;;Diego;;
Je hebt een juf en een meester.;school;;;Diego;;
jij gaat iedere dag naar groep Muis toe.;School;;;Diego;;
Naast wie heb je gezeten?;school;;;Diego;;
oma komt je vanmiddag ophalen. (situatie: ophalen van school);school;;;Diego;;
Opa haalt je vanmiddag op met de auto. (situatie: ophalen van school);school;;;Tobias;;
Pak je tas.;school;;;Tobias;;
Papa brengt jou weg.;school;;;Tobias;;
Straks ga je naar de behandelgroep.;school;;;Tobias;;
Vandaag is Juf Ellen er.;school;;;Tobias;;
Vanmiddag ga je naar de BSO.;School;;;Tobias;;
Was het leuk net op school?;school;;;Tobias;;
Wat is het leukste wat je vandaag hebt gedaan?;school;;;Tobias;;
Wat voor fruit willen jullie mee naar school?;School;;;Tobias;;
Wat voor pauzehap willen jullie vandaag mee naar school? Een rijstwafel of een koek?;school;;;Tobias;;
Wat voor werkjes heb je gedaan?;school;;;Manouk;;
wat wil je op je brood naar school?;school;;;Manouk;;
We gaan naar school.;school;;;Manouk;;
we moeten je zus ophalen van school.;School;;;Manouk;;
Welk boekje heb je gelezen?;school;;;Manouk;;
Wie was je maatje vandaag?;school;;;Manouk;;
Wil je komkommer mee naar school?;school;;;Manouk;;
Zet je broodtrommel op het aanrecht.;school;;;Manouk;;
Zit er nog iets in je (brood)trommel?;school;;;Manouk;;
Zo meteen gaan we naar school.;school;;;Manouk;;
heb je het al gevraagd aan zijn ouders?;school;;;Manouk;;
Je kan niet bij ons spelen vandaag, maar je kan wel bij Tom spelen.;Speelafspraak;;;Henrianne;;
Misschien kunnen we een andere keer een speelafspraak maken.;speelafspraak;;;Henrianne;;
Tom kan blijven spelen.;speelafspraak;;;Diego;;
Weet je nog hoe de mama van Sef heet?;speelafspraak;;;Diego;;
Weten de ouders van Tom dat hij bij ons komt spelen?;Speelafspraak;;;Tobias;;
Alleen rollen met de bal, niet gooien.;Speelafspraak;;;Manouk;;
Als je mij niet kan vinden, dan ga je naar de ingang.;spelen;;;Henrianne;;
als je mij niet kan vinden, kan je andere volwassenen om hulp vragen.;Spelen;;;Henrianne;;
Bij de glijbaan moet je even wachten tot het andere kindje beneden is.;Spelen;;;Henrianne;;
daar ben je al een beetje groot voor.;spelen;;;Henrianne;;
Daar ben je nog een beetje te klein voor;spelen;;;Henrianne;;
Daarna ben jij aan de beurt.;spelen;;;Henrianne;;
Dan moet je zeggen dat je het niet leuk vindt.;spelen;;;Henrianne;;
De bal is voor buiten.;spelen;;;Henrianne;;
De toren is bijna af.;spelen;;;Henrianne;;
Er is daar ook een speeltuin.;Spelen;;;Henrianne;;
er ligt nog K'NEX op het tapijt;Spelen;;;Henrianne;;
Even tanken.;Spelen;;;Henrianne;;
Ga je de auto parkeren?;spelen;;;Henrianne;;
Ga je een kasteel maken?;spelen;;;Henrianne;;
ga je klimmen? ;spelen;;;Henrianne;;
Ga je nog meer bouwen?;spelen;;;Henrianne;;
Ga maar even zelf spelen.;Spelen;;;Henrianne;;
Ga maar kijken of Marie thuis is.;spelen;;;Henrianne;;
Ga maar van de glijbaan.;spelen;;;Henrianne;;
Ga maar zingen, dat kun je zo mooi.;spelen;;;Henrianne;;
ga maar, ik blijf hier zitten.;Spelen;;;Henrianne;;
Gaan jullie een rondje fietsen?;Spelen;;;Henrianne;;
Gaan jullie maar daar spelen.;spelen;;;Henrianne;;
Gaan we buiten spelen?;spelen;;;Henrianne;;
gaan we klappen?;Spelen;;;Henrianne;;
geef elkaar de ruimte;spelen;;;Henrianne;;
Goed gedaan, dat was een moeilijk (puzzel)stukje!;Spelen;;;Henrianne;;
Goed gedaan, die past precies!;Spelen;;;Henrianne;;
Heb je al je knuffels?;Spelen;;;Henrianne;;
Heb je buitengespeeld?;Spelen;;;Henrianne;;
Het zand laten we in de zandbak.;spelen;;;Henrianne;;
het zand van de zandbak moet uit je haar.;spelen;;;Henrianne;;
hier is je knuffel weer.;spelen;;;Henrianne;;
hier is je treintje.;spelen;;;Henrianne;;
Hier, alsjeblieft, ga hier maar mee spelen.;spelen;;;Diego;;
Hoe heten je knuffels?;spelen;;;Diego;;
Ik ga eerst de was doen en dan gaan we naar de speeltuin.;spelen;;;Diego;;
Is de toren nu klaar?;spelen;;;Diego;;
Je hebt een mooie toren gebouwd.;spelen;;;Diego;;
Je mag nog even buitenspelen.;spelen;;;Diego;;
jij hebt de hele dag in de zandbak gespeeld.;spelen;;;Diego;;
Kiekeboe, daar ben je.;spelen;;;Diego;;
kijk maar hoe ver je komt met klimmen, ik ga je expres niet zo veel helpen.;spelen;;;Diego;;
Kijk naar de kleuren, ze horen bij elkaar.;spelen;;;Diego;;
Kijk uit voor andere kinderen;Spelen;;;Diego;;
kom, we gaan even kleien.;spelen;;;Diego;;
Kom, we gaan even naar het pleintje.;spelen;;;Diego;;
kom, we gaan sneeuwballen gooien.;spelen;;;Diego;;
Kom, we nemen de bal mee en dan gaan we in het park voetballen.;spelen;;;Diego;;
Kom, we pakken de laarzen, dan gaan we in de plassen springen.;spelen;;;Diego;;
laat het andere kindje maar voor gaan.;spelen;;;Diego;;
laten we een treinbaan bouwen.;spelen;;;Diego;;
Leg het krijt maar achter het knutselboek. ;spelen;;;Diego;;
leg het speelgoed weg;spelen;;;Diego;;
Maak maar een hele hoge toren.;spelen;;;Diego;;
Mama gaat jullie nu duwen (op de schommel);spelen;;;Diego;;
Mama zit hier.;spelen;;;Diego;;
Met welk speelgoed wil je nu spelen?;spelen;;;Diego;;
Met wie heb je gespeeld?;spelen;;;Diego;;
