Zin;Context;Vertaling NGT/opmerking;Bijbehorende uitleg/grammatica;Naam;;
Ik vind drie keer vragen genoeg, kun je nu gewoon luisteren.;emoties;;;Diego;;
Ik vind het echt heel vervelend dat je dit doet.;Emoties;;;Tobias;;
Ik vind het echt heel vervelend dat je dit hebt gedaan.;emoties;;;Tobias;;
Ik vind het echt niet oké.;emoties;;;Tobias;;
Ik vind het prima.;emoties;;;Tobias;;
Ik weet dat je het heel spannend vindt, dat is oké.;emoties;;;Tobias;;
Ik word hier echt boos van.;emoties;;;Tobias;;
Ik word hier verdrietig van.;emoties;;;Tobias;;
Ik zie dat je aan het genieten bent.;emoties;;;Tobias;;
Ik zie dat je het leuk hebt.;emoties;;;Tobias;;
Ik zie dat je het spannend vindt.;emoties;;;Tobias;;
Ik zie dat je verdrietig bent.;emoties;;;Tobias;;
Je bent zo sterk en dapper. ;emoties;;;Tobias;;
Je gevoel mag er altijd zijn.;Emoties;;;Tobias;;
Je hoeft niet bang te zijn.;emoties;;;Tobias;;
Je hoeft nooit sorry te zeggen voor het gevoel dat je hebt.;emoties;;;Tobias;;
Je mag best bij mij wegkruipen.;emoties;;;Tobias;;
Je mag wel even bij mij in bed liggen.;Emoties;;;Tobias;;
Jij mag de volgende keer.;Emoties;;;Tobias;;
Jij mag straks.;emoties;;;Tobias;;
Jij vindt het misschien wel leuk, maar Casper niet.;emoties;;;Tobias;;
Kan je het me uitleggen?;emoties;;;Tobias;;
Kan je vertellen waarom je boos bent?;Emoties;;;Tobias;;
Kijk hier.;emoties;;;Tobias;;
kijk, er vliegt een vogel;emoties;;;Tobias;;
Kom maar bij mama staan.;emoties;;;Tobias;;
Kom maar heel even tot rust.;emoties;;;Tobias;;
Kom maar naast mama zitten.;Emoties;;;Tobias;;
Kun je dat vertellen?;emoties;;;Tobias;;
Kun je het met woorden zeggen? Dan kan ik je helpen.;emoties;;;Tobias;;
Kun je me vertellen wat er is?;emoties;;;Tobias;;
kun je vertellen waarom je dit niet leuk vindt?;emoties;;;Tobias;;
Kun je vertellen wat er aan de hand is?;emoties;;;Tobias;;
Laat me maar even.;emoties;;;Tobias;;
Leuk, hè?;emoties;;;Tobias;;
Mama vindt je ook lief als ze boos is;emoties;;;Tobias;;
mama was even boos omdat je niet luisterde, maar nu is het weer goed.;emoties;;;Tobias;;
Meisjes kunnen verliefd worden op meisjes en jongens kunnen ook verliefd worden op jongens.;emoties;;;Tobias;;
Misschien krijg jij later ook wel een vriendje of vriendinnetje.;emoties;;;Tobias;;
Mooi, hè!;emoties;;;Tobias;;
Niks aan de hand.;emoties;;;Tobias;;
Nu ben ik echt een beetje teleurgesteld.;emoties;;;Tobias;;
nu weten we wel dat het niet leuk is.;emoties;;;Tobias;;
Nu wordt mama een beetje boos.;emoties;;;Manouk;;
O, moet je zo huilen?;emoties;;;Manouk;;
O, wat ben je boos!;emoties;;;Manouk;;
Op wie ben je boos?;emoties;;;Manouk;;
probeer de volgende keer goed aan te geven waarom je het niet fijn vond, dan weet het andere kind dat ook.;emoties;;;Manouk;;
Vertel, hoe voel je je?;emoties;;;Manouk;;
vind je dat leuk?;emoties;;;Manouk;;
Vind je het gezellig?;emoties;;;Manouk;;
vind je het leuk of niet?;emoties;;;Manouk;;
Vind je het moeilijk?;emoties;;;Manouk;;
Vind je het mooi?;emoties;;;Manouk;;
Vind je het spannend?;emoties;;;Manouk;;
Vind je het vervelend dat je broertje dat wel mag?;emoties;;;Manouk;;
Waar houdt mama van?;emoties;;;Manouk;;
Waarom ben je boos?;Emoties;;;Manouk;;
Waarom ben je verdrietig?;emoties;;;Manouk;;
Waarom moet je huilen?;emoties;;;Manouk;;
Wat ben je lekker vrolijk.;emoties;;;Manouk;;
Wat is er?;emoties;;;Manouk;;
Wat vind je daarvan?;Emoties;;;Manouk;;
Wat vind je er spannend aan?;emoties;;;Manouk;;
Wat vind je het moeilijkst?;emoties;;;Manouk;;
Wat vind je het mooist?;emoties;;;Manouk;;
wat vind je leuker? Dit of dat?;emoties;;;Manouk;;
Wat zou jij doen als jij hem was?;emoties;;;Manouk;;
We zijn trots op hoe je met alles omgaat.;Emoties;;;Manouk;;
We zijn zo trots op hoe sterk je bent.;Emoties;;;Manouk;;
Wil je een knuffel?;Emoties;;;Manouk;;
wil je heel eventjes alleen zijn?;Emoties;;;Manouk;;
Wil je ook graag bij opa en oma logeren?;emoties;;;Manouk;;
Wil jij dit ook?;emoties;;;Manouk;;
Zullen we even knuffelen?;emoties;;;Manouk;;
Zullen we nu dan met de treinbaan gaan spelen?;emoties;;;Manouk;;
Zullen we samen kijken?;emoties;;;Manouk;;
Als je bord leeg is, krijg je een toetje.;emoties;;;Manouk;;
Als je echt uitgegeten bent, mag je van tafel.;Eten en drinken;;;Henrianne;;
Als je het echt niet lekker vindt, mag je het aan de kant leggen.;Eten en drinken;;;Henrianne;;
Als je je boterham opeet, dan kunnen we gaan spelen.;Eten en drinken;;;Henrianne;;
Als je niet genoeg eet, dan voel je je niet fijn.;Eten en drinken;;;Henrianne;;
Als je nog een tweede boterham wil, moet je echt opschieten.;Eten en drinken;;;Henrianne;;
Als je nu iets eet, dan heb je straks geen honger meer.;Eten en drinken;;;Henrianne;;
Als je nu iets eet, dan zit je buik al vol.;Eten en drinken;;;Henrianne;;
Als je nu niet genoeg eet, heb je straks honger.;Eten en drinken;;;Henrianne;;
als je te veel suiker eet, ga je stuiteren.;Eten en drinken;;;Henrianne;;
Blijf even aan tafel zitten, we gaan nog even eten.;Eten en drinken;;;Henrianne;;
boven je bord eten;eten en drinken;;;Henrianne;;
Dat mag je niet nu, maar als toetje.;Eten en drinken;;;Henrianne;;
De eierschalen mogen in de vuilnisbak.;Eten en drinken;;;Henrianne;;
De koekjes zijn op.;Eten en drinken;;;Henrianne;;
De pasta is warm. ;Eten en drinken;;;Henrianne;;
De rest moet je wel opeten.;eten en drinken;;;Henrianne;;
Denk je dat je het lekker vindt?;Eten en drinken;;;Henrianne;;
Deze erwtjes zijn heel lekker.;Eten en drinken;;;Henrianne;;
Die is van mama.;Eten en drinken;;;Henrianne;;
Dit is mijn broodje, niet die van jou.;Eten en drinken;;;Henrianne;;
Dit zijn de wortels.;Eten en drinken;;;Henrianne;;
doe je stiften vast weg, want we gaan zo eten;Eten en drinken;;;Henrianne;;
Drie slokjes, dan mag je van tafel.;Eten en drinken;;;Henrianne;;
Drink nog maar wat.;Eten en drinken;;;Henrianne;;
Een beetje chocola is oké, maar niet te veel.;Eten en drinken;;;Henrianne;;
Eerst blazen. (eten is warm);Eten en drinken;;;Henrianne;;
eerst hartig en dan zoet.;Eten en drinken;;;Henrianne;;
Eet even door.;Eten en drinken;;;Henrianne;;
Eet je boterham op.;Eten en drinken;;;Henrianne;;
Eet je je fruit op?;Eten en drinken;;;Henrianne;;
Eet maar lekker op;Eten en drinken;;;Henrianne;;
Eet met mes en vork.;Eten en drinken;;;Henrianne;;
